,Democratic,Republic,Liberation,In labor force,Unemployed,Armed Forces,Not in labor force,Unemployment Rate,MgmtArts,Service,SalesOffice,NatResources,Production,Agriculture,Construction,Manufacturing,Retail,Transport,Finance,Professional,Education,Arts,OtherServices,PublicAdmin,Private wage and salary workers,Government workers,Self-employed in own not incorporated business workers,"Less than $10,000","Less than $10,000","$10,000 to $14,999","$10,000 to $14,999","$15,000 to $24,999","$15,000 to $24,999","$25,000 to $34,999","$25,000 to $34,999","$35,000 to $49,999","$35,000 to $49,999","$50,000 to $74,999","$50,000 to $74,999","$75,000 to $99,999","$75,000 to $99,999","$100,000 to $149,999","$100,000 to $149,999","$150,000 to $199,999","$150,000 to $199,999","$200,000 or more","$200,000 or more"
North Slope Borough,0.53,0.26,0.05,80.80%,8.00%,0.90%,19.20%,10.00%,27.80%,16.50%,17.10%,22.50%,16.10%,27.00%,8.50%,4.40%,6.10%,6.90%,2.50%,15.70%,12.40%,4.20%,1.10%,9.40%,73.00%,26.00%,1.00%,4.50%,4.20%,4.10%,3.20%,7.90%,6.40%,8.40%,8.40%,10.90%,9.40%,15.90%,17.00%,12.80%,11.60%,18.60%,19.10%,9.10%,11.80%,7.90%,8.80%
Northwest Arctic Borough,0.33,0.54,0.05,62.90%,14.20%,0.00%,37.10%,22.60%,34.50%,20.50%,21.10%,12.10%,11.90%,4.40%,5.50%,2.90%,8.30%,12.10%,2.40%,5.30%,31.80%,6.00%,2.10%,17.00%,52.40%,45.70%,1.70%,5.10%,6.60%,4.30%,4.20%,9.50%,9.00%,10.60%,10.80%,11.30%,12.70%,18.40%,16.40%,10.70%,11.80%,17.60%,16.80%,8.40%,7.90%,4.10%,3.80%
Petersburg Borough,0.38,0.46,0.05,69.20%,4.00%,0.60%,30.80%,5.80%,28.90%,12.20%,16.40%,26.00%,16.50%,23.50%,5.10%,13.70%,9.70%,3.30%,3.60%,2.40%,17.30%,5.80%,4.10%,9.40%,63.40%,27.20%,9.40%,5.00%,3.20%,6.10%,1.30%,10.10%,5.90%,7.90%,5.30%,7.80%,8.40%,21.30%,22.70%,11.90%,13.30%,15.60%,20.80%,9.80%,13.80%,4.50%,5.30%
Prince of Wales-Hyder Census Area,0.48,0.41,0.05,64.60%,8.80%,0.10%,35.40%,13.60%,26.70%,17.60%,19.30%,18.50%,17.80%,14.80%,6.10%,8.10%,9.90%,8.60%,2.70%,2.70%,23.00%,7.50%,2.80%,12.00%,50.10%,39.10%,10.50%,6.50%,3.80%,3.50%,1.70%,14.40%,10.50%,10.70%,10.20%,13.10%,11.60%,18.10%,22.20%,11.80%,13.60%,15.90%,19.40%,4.20%,5.00%,1.70%,2.10%
Sitka City and Borough,0.54,0.28,0.07,70.30%,3.10%,0.80%,29.70%,4.50%,41.60%,16.20%,20.20%,10.90%,11.10%,10.30%,5.50%,4.90%,8.10%,8.20%,2.60%,5.50%,30.60%,11.10%,3.70%,7.80%,58.70%,28.90%,12.40%,5.40%,2.20%,3.10%,0.50%,6.20%,2.70%,6.40%,3.80%,12.00%,12.80%,20.30%,19.60%,16.20%,16.40%,18.90%,24.50%,6.70%,11.00%,4.90%,6.40%
Skagway Municipality,0.2,0.71,0.05,83.20%,5.60%,0.00%,16.80%,6.70%,27.50%,22.00%,23.00%,8.30%,19.20%,4.00%,5.30%,8.20%,15.30%,18.60%,2.40%,6.30%,6.30%,21.50%,2.00%,8.40%,70.50%,21.20%,8.20%,0.50%,1.50%,1.90%,0.50%,7.90%,5.60%,4.40%,2.00%,15.00%,6.60%,29.40%,29.80%,12.90%,17.20%,20.80%,24.20%,5.10%,8.10%,2.10%,4.50%
Southeast Fairbanks Census Area,0.28,0.57,0.07,65.00%,5.90%,2.40%,35.00%,9.40%,30.20%,20.90%,16.50%,22.40%,10.00%,16.80%,10.50%,1.60%,4.80%,6.00%,1.10%,4.30%,22.90%,2.50%,5.20%,17.40%,62.10%,29.70%,7.80%,5.70%,4.30%,4.40%,3.00%,9.10%,5.00%,8.60%,6.80%,10.10%,9.00%,18.90%,21.80%,17.30%,21.60%,16.60%,16.70%,6.50%,8.70%,2.70%,3.10%
Valdez-Cordova Census Area,0.59,0.2,0.04,69.00%,6.00%,2.10%,31.00%,9.00%,29.80%,17.40%,20.50%,24.00%,8.30%,14.80%,7.90%,5.10%,7.40%,7.20%,2.10%,10.10%,19.20%,6.80%,1.90%,14.10%,56.10%,34.30%,9.30%,6.40%,5.10%,2.50%,0.20%,9.80%,9.10%,5.40%,3.40%,8.30%,6.70%,13.10%,13.00%,16.60%,12.40%,19.40%,25.30%,11.10%,14.70%,7.50%,10.00%
Wrangell City and Borough,0.24,0.67,0.05,59.90%,4.30%,0.00%,40.10%,7.20%,31.40%,17.20%,23.30%,16.40%,11.70%,13.80%,5.10%,3.50%,14.00%,11.00%,3.50%,2.60%,27.20%,4.00%,5.10%,7.50%,51.10%,32.10%,14.40%,3.60%,5.40%,5.00%,1.10%,15.00%,10.70%,7.80%,6.90%,15.70%,13.80%,19.80%,21.60%,11.80%,15.80%,14.30%,15.60%,4.60%,6.40%,2.40%,2.60%
Yakutat City and Borough,0.47,0.4,0.07,76.60%,5.40%,0.00%,23.40%,7.10%,25.20%,19.80%,22.50%,20.30%,12.20%,13.30%,3.00%,8.40%,8.90%,8.10%,1.90%,4.30%,12.70%,9.80%,0.80%,27.60%,45.30%,43.90%,10.80%,4.90%,3.40%,2.00%,2.70%,10.90%,6.70%,7.30%,8.70%,14.60%,7.40%,18.20%,20.10%,19.40%,19.50%,18.60%,24.80%,2.80%,4.70%,1.20%,2.00%
Yukon-Koyukuk Census Area,0.57,0.3,0.05,61.40%,11.20%,0.50%,38.60%,18.40%,35.00%,19.40%,19.30%,15.00%,11.30%,4.10%,7.30%,1.70%,8.20%,11.00%,1.00%,3.00%,27.80%,4.90%,4.10%,25.10%,36.60%,57.90%,5.50%,11.50%,8.00%,7.50%,4.70%,15.90%,11.80%,10.70%,12.60%,14.40%,15.10%,15.00%,17.60%,10.30%,12.20%,9.40%,11.90%,4.00%,4.60%,1.30%,1.60%
